Number One,Number Two,GCD,Time (ms)
2,0,2,7.9E-4
3,0,3,7.9E-4
1,0,1,7.9E-4
2,0,2,7.9E-4
1,0,1,7.9E-4
2,0,2,7.9E-4
1,0,1,7.9E-4
1,0,1,7.9E-4
1,0,1,7.9E-4
1,0,1,7.9E-4
1,0,1,7.9E-4
2,0,2,7.9E-4
1,0,1,7.9E-4
33,0,33,7.91E-4
1,0,1,0.001185
1,0,1,0.001185
3,0,3,0.001185
2,0,2,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
3,0,3,0.001185
2,0,2,0.001185
2,0,2,0.001185
15,0,15,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
11,0,11,0.001185
11,0,11,0.001185
1,0,1,0.001185
8,0,8,0.001185
1,0,1,0.001185
3,0,3,0.001185
2,0,2,0.001185
3,0,3,0.001185
3,0,3,0.001185
6,0,6,0.001185
1,0,1,0.001185
1,0,1,0.001185
3,0,3,0.001185
5,0,5,0.001185
5,0,5,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
4,0,4,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
2,0,2,0.001185
1,0,1,0.001185
1,0,1,0.001185
11,0,11,0.001186
1,0,1,0.001186
1,0,1,0.001186
1,0,1,0.001186
1,0,1,0.001186
17,0,17,0.001186
1,0,1,0.00158
1,0,1,0.00158
4,0,4,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
4,0,4,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
2,0,2,0.00158
2,0,2,0.00158
1,0,1,0.00158
1,0,1,0.00158
2,0,2,0.00158
1,0,1,0.00158
6,0,6,0.00158
13,0,13,0.00158
4,0,4,0.00158
1,0,1,0.00158
2,0,2,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.001581
1,0,1,0.001581
1,0,1,0.001581
3,0,3,0.001581
1,0,1,0.001581
1,0,1,0.001581
1,0,1,0.001581
1,0,1,0.001975
1,0,1,0.001975
5,0,5,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.002371
1,0,1,0.005926
2,0,2,0.012247
